S. No.,INSTITUTE NAME,INSTITUTE TYPE,FW,BRANCH,NATIONALPLAYER,OPENING JEE COMMON RANK,CLOSING JEE COMMON RANK,ALLOTTED CATEGORY,DOMICILE,TOTAL ALLOTTED
1,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CE,,921972,921972,EWS,,1
2,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CE,,163531,453274,FW/OP,,3
3,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CE,,179823,1313670,UR/X/OP,,31
4,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,87749,305914,EWS,,30
5,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSE,,97069,153216,FW/OP,,12
6,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,643061,643061,JKM,,1
7,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,254298,373684,OBC/X/OP,,54
8,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,431949,1471933,SC/X/OP,,76
9,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,429640,1384400,ST/X/OP,,8
10,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSE,,66613,251829,UR/X/OP,,108
11,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,285677,540254,EWS,,7
12,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSECS,,144871,175367,FW/OP,,3
13,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,434100,662856,OBC/X/OP,,32
14,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,854007,1012596,SC/X/OP,,2
15,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,1208437,1208437,ST/X/OP,,1
16,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSECS,,154717,416690,UR/X/OP,,27
17,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEDS,,122067,372129,EWS,,7
18,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSEDS,,168767,189260,FW/OP,,3
19,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEDS,,407453,637005,OBC/X/OP,,33
20,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEDS,,722406,1228745,SC/X/OP,,2
21,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEDS,,160305,377381,UR/X/OP,,27
22,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIL,,542742,1070513,EWS,,7
23,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSEIL,,371522,419259,FW/OP,,3
24,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIL,,740710,1210776,OBC/X/OP,,35
25,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIL,,420198,687920,UR/X/OP,,27
26,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,218499,409328,EWS,,15
27,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSEIML,,88829,164596,FW/OP,,6
28,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,341346,508116,OBC/X/OP,,56
29,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,497985,1404128,SC/X/OP,,12
30,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,897815,897815,ST/X/OP,,1
31,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSEIML,,96706,336466,UR/X/OP,,54
32,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSIT,,406325,590171,EWS,,15
33,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,CSIT,,203805,233714,FW/OP,,6
34,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSIT,,519339,871124,OBC/X/OP,,69
35,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,CSIT,,99946,478163,UR/X/OP,,54
36,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,EC,,621378,844036,EWS,,7
37,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,EC,,291769,345470,FW/OP,,3
38,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,EC,,818903,1454144,OBC/X/OP,,26
39,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,EC,,345093,814018,UR/X/OP,,36
40,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,ECACT,,653645,1238954,EWS,,7
41,"Acropolis Institute of Technology & Research, Indore (2005)",private,Y,ECACT,,266292,361260,FW/OP,,3
42,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,ECACT,,965156,1418463,OBC/X/OP,,18
43,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,ECACT,,951580,951580,SC/X/OP,,1
44,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,ECACT,,371630,945255,UR/X/OP,,43
45,"Acropolis Institute of Technology & Research, Indore (2005)",private,N,EEVDT,,956479,1327085,EWS,,3
